GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON_PLAYER_ID,SEASON_SEASON_ID,SEASON_LEAGUE_ID,SEASON_TEAM_ID,SEASON_TEAM_ABBREVIATION,SEASON_PLAYER_AGE,SEASON_GP,SEASON_GS,SEASON_MIN,SEASON_FGM,SEASON_FGA,SEASON_FG_PCT,SEASON_FG3M,SEASON_FG3A,SEASON_FG3_PCT,SEASON_FTM,SEASON_FTA,SEASON_FT_PCT,SEASON_OREB,SEASON_DREB,SEASON_REB,SEASON_AST,SEASON_STL,SEASON_BLK,SEASON_TOV,SEASON_PF,SEASON_PTS,RECENT_Player_ID,RECENT_MIN,RECENT_FGM,RECENT_FGA,RECENT_FG_PCT,RECENT_FG3M,RECENT_FG3A,RECENT_FG3_PCT,RECENT_FTM,RECENT_FTA,RECENT_FT_PCT,RECENT_OREB,RECENT_DREB,RECENT_REB,RECENT_AST,RECENT_STL,RECENT_BLK,RECENT_TOV,RECENT_PF,RECENT_PTS,RECENT_PLUS_MINUS,RECENT_VIDEO_AVAILABLE,TEAM_GROUP_SET,TEAM_GROUP_VALUE,TEAM_SEASON_YEAR,TEAM_GP,TEAM_W,TEAM_L,TEAM_W_PCT,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_TOV,TEAM_STL,TEAM_BLK,TEAM_BLKA,TEAM_PF,TEAM_PFD,TEAM_PTS,TEAM_PLUS_MINUS,TEAM_GP_RANK,TEAM_W_RANK,TEAM_L_RANK,TEAM_W_PCT_RANK,TEAM_MIN_RANK,TEAM_FGM_RANK,TEAM_FGA_RANK,TEAM_FG_PCT_RANK,TEAM_FG3M_RANK,TEAM_FG3A_RANK,TEAM_FG3_PCT_RANK,TEAM_FTM_RANK,TEAM_FTA_RANK,TEAM_FT_PCT_RANK,TEAM_OREB_RANK,TEAM_DREB_RANK,TEAM_REB_RANK,TEAM_AST_RANK,TEAM_TOV_RANK,TEAM_STL_RANK,TEAM_BLK_RANK,TEAM_BLKA_RANK,TEAM_PF_RANK,TEAM_PFD_RANK,TEAM_PTS_RANK,TEAM_PLUS_MINUS_RANK,OPPONENT_GROUP_SET,OPPONENT_GROUP_VALUE,OPPONENT_SEASON_YEAR,OPPONENT_GP,OPPONENT_W,OPPONENT_L,OPPONENT_W_PCT,OPPONENT_MIN,OPPONENT_FGM,OPPONENT_FGA,OPPONENT_FG_PCT,OPPONENT_FG3M,OPPONENT_FG3A,OPPONENT_FG3_PCT,OPPONENT_FTM,OPPONENT_FTA,OPPONENT_FT_PCT,OPPONENT_OREB,OPPONENT_DREB,OPPONENT_REB,OPPONENT_AST,OPPONENT_TOV,OPPONENT_STL,OPPONENT_BLK,OPPONENT_BLKA,OPPONENT_PF,OPPONENT_PFD,OPPONENT_PTS,OPPONENT_PLUS_MINUS,OPPONENT_GP_RANK,OPPONENT_W_RANK,OPPONENT_L_RANK,OPPONENT_W_PCT_RANK,OPPONENT_MIN_RANK,OPPONENT_FGM_RANK,OPPONENT_FGA_RANK,OPPONENT_FG_PCT_RANK,OPPONENT_FG3M_RANK,OPPONENT_FG3A_RANK,OPPONENT_FG3_PCT_RANK,OPPONENT_FTM_RANK,OPPONENT_FTA_RANK,OPPONENT_FT_PCT_RANK,OPPONENT_OREB_RANK,OPPONENT_DREB_RANK,OPPONENT_REB_RANK,OPPONENT_AST_RANK,OPPONENT_TOV_RANK,OPPONENT_STL_RANK,OPPONENT_BLK_RANK,OPPONENT_BLKA_RANK,OPPONENT_PF_RANK,OPPONENT_PFD_RANK,OPPONENT_PTS_RANK,OPPONENT_PLUS_MINUS_RANK,AGAINT_OPP_Player_ID,AGAINT_OPP_MIN,AGAINT_OPP_FGM,AGAINT_OPP_FGA,AGAINT_OPP_FG_PCT,AGAINT_OPP_FG3M,AGAINT_OPP_FG3A,AGAINT_OPP_FG3_PCT,AGAINT_OPP_FTM,AGAINT_OPP_FTA,AGAINT_OPP_FT_PCT,AGAINT_OPP_OREB,AGAINT_OPP_DREB,AGAINT_OPP_REB,AGAINT_OPP_AST,AGAINT_OPP_STL,AGAINT_OPP_BLK,AGAINT_OPP_TOV,AGAINT_OPP_PF,AGAINT_OPP_PTS,AGAINT_OPP_PLUS_MINUS,AGAINT_OPP_VIDEO_AVAILABLE
22300885,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,30.000000:04,4.0,11.0,0.364,0.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,4.0,1.0,8.0,-3.0,1630532.0,2023-24,0.0,1610612753.0,ORL,22.0,72.0,72.0,2337.0,528.0,1096.0,0.482,94.0,334.0,0.281,271.0,319.0,0.85,72.0,309.0,381.0,269.0,76.0,28.0,137.0,168.0,1421.0,1630532.0,31.5,5.5,10.5,0.5225,0.0,2.5,0.0,2.5,3.5,0.8,1.0,4.5,5.5,3.5,1.0,2.0,3.5,2.5,13.5,16.0,1.0,Overall,2023-24,2023-24,82.0,47.0,35.0,0.573,3956.0,3318.0,6964.0,0.476,903.0,2568.0,0.352,1519.0,2002.0,0.759,861.0,2608.0,3469.0,2023.0,1206.0,669.0,423.0,379.0,1618.0,1710.0,9058.0,166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,21.0,61.0,0.256,3946.0,3281.0,7133.0,0.46,989.0,2788.0,0.355,1189.0,1512.0,0.786,765.0,2538.0,3303.0,2033.0,1129.0,562.0,371.0,396.0,1472.0,1432.0,8740.0,-840.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1630532.0,35.0,11.0,15.0,0.733,2.0,3.0,0.667,6.0,9.0,0.667,1.0,6.0,7.0,2.0,2.0,0.0,3.0,3.0,30.0,10.0,1.0
22300885,1610612753,ORL,Orlando,1631094,Paolo Banchero,Paolo,F,33.000000:12,9.0,19.0,0.474,2.0,5.0,0.4,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,5.0,1.0,22.0,1.0,1631094.0,2023-24,0.0,1610612753.0,ORL,21.0,80.0,80.0,2799.0,640.0,1407.0,0.455,119.0,351.0,0.339,405.0,559.0,0.725,82.0,472.0,554.0,431.0,71.0,47.0,247.0,153.0,1804.0,1631094.0,33.5,10.0,16.0,0.625,1.0,4.0,0.25,8.0,10.0,0.808,1.5,7.0,8.5,5.5,0.5,0.0,5.0,1.0,29.0,18.5,1.0,Overall,2023-24,2023-24,82.0,47.0,35.0,0.573,3956.0,3318.0,6964.0,0.476,903.0,2568.0,0.352,1519.0,2002.0,0.759,861.0,2608.0,3469.0,2023.0,1206.0,669.0,423.0,379.0,1618.0,1710.0,9058.0,166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,21.0,61.0,0.256,3946.0,3281.0,7133.0,0.46,989.0,2788.0,0.355,1189.0,1512.0,0.786,765.0,2538.0,3303.0,2033.0,1129.0,562.0,371.0,396.0,1472.0,1432.0,8740.0,-840.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1631094.0,37.0,9.0,18.0,0.5,2.0,5.0,0.4,3.0,6.0,0.5,0.0,7.0,7.0,8.0,2.0,0.0,2.0,2.0,23.0,8.0,1.0
22300885,1610612753,ORL,Orlando,203914,Gary Harris,Gary,G,21.000000:41,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,9.0,6.0,203914.0,2023-24,0.0,1610612753.0,ORL,29.0,54.0,27.0,1297.0,131.0,297.0,0.441,76.0,205.0,0.371,34.0,45.0,0.756,24.0,67.0,91.0,87.0,49.0,14.0,31.0,91.0,372.0,203914.0,26.5,4.0,6.5,0.6125,2.5,5.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.5,1.5,0.5,0.0,0.5,10.5,14.0,1.0,Overall,2023-24,2023-24,82.0,47.0,35.0,0.573,3956.0,3318.0,6964.0,0.476,903.0,2568.0,0.352,1519.0,2002.0,0.759,861.0,2608.0,3469.0,2023.0,1206.0,669.0,423.0,379.0,1618.0,1710.0,9058.0,166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,21.0,61.0,0.256,3946.0,3281.0,7133.0,0.46,989.0,2788.0,0.355,1189.0,1512.0,0.786,765.0,2538.0,3303.0,2033.0,1129.0,562.0,371.0,396.0,1472.0,1432.0,8740.0,-840.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,203914.0,24.0,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,5.0,5.0,1.0
22300885,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,20.000000:26,2.0,4.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,1.0,4.0,4.0,5.0,1630591.0,2023-24,0.0,1610612753.0,ORL,23.0,75.0,75.0,2025.0,336.0,714.0,0.471,153.0,385.0,0.397,118.0,156.0,0.756,48.0,181.0,229.0,205.0,106.0,47.0,132.0,205.0,943.0,1630591.0,29.5,5.0,8.0,0.625,2.5,5.0,0.4519999999999999,0.5,1.0,0.25,0.0,3.5,3.5,2.5,1.0,1.0,3.0,5.0,13.0,18.5,1.0,Overall,2023-24,2023-24,82.0,47.0,35.0,0.573,3956.0,3318.0,6964.0,0.476,903.0,2568.0,0.352,1519.0,2002.0,0.759,861.0,2608.0,3469.0,2023.0,1206.0,669.0,423.0,379.0,1618.0,1710.0,9058.0,166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,21.0,61.0,0.256,3946.0,3281.0,7133.0,0.46,989.0,2788.0,0.355,1189.0,1512.0,0.786,765.0,2538.0,3303.0,2033.0,1129.0,562.0,371.0,396.0,1472.0,1432.0,8740.0,-840.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1630591.0,32.0,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,12.0,6.0,1.0
22300886,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,36.000000:35,8.0,20.0,0.4,3.0,7.0,0.429,2.0,2.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,21.0,9.0,1627759.0,2023-24,0.0,1610612738.0,BOS,27.0,70.0,70.0,2343.0,627.0,1256.0,0.499,145.0,410.0,0.354,211.0,300.0,0.703,84.0,303.0,387.0,249.0,83.0,37.0,166.0,185.0,1610.0,1627759.0,26.5,11.0,19.5,0.5645,3.5,7.5,0.45,1.5,1.5,1.0,1.0,4.0,5.0,4.0,1.0,0.0,0.5,2.5,27.0,25.5,1.0,Overall,2023-24,2023-24,82.0,64.0,18.0,0.78,3966.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,979.0,557.0,538.0,304.0,1326.0,1416.0,9887.0,930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,48.0,34.0,0.585,3961.0,3425.0,7147.0,0.479,1108.0,3016.0,0.367,1278.0,1671.0,0.765,807.0,2742.0,3549.0,2299.0,1112.0,605.0,380.0,410.0,1436.0,1536.0,9236.0,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1627759.0,35.5,10.0,18.5,0.544,1.5,5.0,0.3,2.0,2.0,0.5,1.5,2.0,3.5,4.5,1.5,0.5,2.5,2.0,23.5,-1.0,1.0
22300886,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,37.000000:31,8.0,21.0,0.381,5.0,9.0,0.556,5.0,6.0,0.833,2.0,11.0,13.0,2.0,0.0,0.0,2.0,3.0,26.0,-7.0,1628369.0,2023-24,0.0,1610612738.0,BOS,26.0,74.0,74.0,2645.0,672.0,1426.0,0.471,229.0,609.0,0.376,414.0,497.0,0.833,67.0,534.0,601.0,364.0,75.0,43.0,188.0,145.0,1987.0,1628369.0,31.0,9.5,16.0,0.609,4.5,7.0,0.678,6.0,6.0,1.0,0.0,5.5,5.5,4.0,0.5,0.5,2.0,2.0,29.5,28.5,1.0,Overall,2023-24,2023-24,82.0,64.0,18.0,0.78,3966.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,979.0,557.0,538.0,304.0,1326.0,1416.0,9887.0,930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,48.0,34.0,0.585,3961.0,3425.0,7147.0,0.479,1108.0,3016.0,0.367,1278.0,1671.0,0.765,807.0,2742.0,3549.0,2299.0,1112.0,605.0,380.0,410.0,1436.0,1536.0,9236.0,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1628369.0,38.5,8.0,20.5,0.3884999999999999,2.5,9.5,0.261,7.5,8.5,0.875,1.5,9.0,10.5,4.0,0.0,2.5,3.5,2.0,26.0,5.5,1.0
22300886,1610612738,BOS,Boston,204001,Kristaps Porziņģis,Kristaps,C,32.000000:02,9.0,18.0,0.5,3.0,6.0,0.5,3.0,3.0,1.0,2.0,7.0,9.0,3.0,2.0,3.0,1.0,2.0,24.0,0.0,204001.0,2023-24,0.0,1610612738.0,BOS,28.0,57.0,57.0,1690.0,388.0,752.0,0.516,110.0,293.0,0.375,259.0,302.0,0.858,97.0,312.0,409.0,115.0,42.0,111.0,89.0,156.0,1145.0,204001.0,30.0,6.5,13.0,0.494,2.5,5.0,0.5,8.0,8.0,1.0,3.5,5.5,9.0,1.5,0.5,1.0,0.5,1.5,23.5,21.5,1.0,Overall,2023-24,2023-24,82.0,64.0,18.0,0.78,3966.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,979.0,557.0,538.0,304.0,1326.0,1416.0,9887.0,930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,48.0,34.0,0.585,3961.0,3425.0,7147.0,0.479,1108.0,3016.0,0.367,1278.0,1671.0,0.765,807.0,2742.0,3549.0,2299.0,1112.0,605.0,380.0,410.0,1436.0,1536.0,9236.0,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,204001.0,31.5,5.0,13.5,0.384,1.5,6.0,0.25,8.0,8.5,0.9375,2.0,6.0,8.0,1.5,1.0,2.0,3.0,1.5,19.5,-2.0,1.0
22300886,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,35.000000:17,1.0,5.0,0.2,0.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,7.0,0.0,4.0,2.0,0.0,3.0,4.0,1628401.0,2023-24,0.0,1610612738.0,BOS,29.0,73.0,73.0,2381.0,387.0,839.0,0.461,196.0,495.0,0.396,137.0,152.0,0.901,51.0,259.0,310.0,377.0,74.0,87.0,112.0,152.0,1107.0,1628401.0,26.0,5.0,8.0,0.6665,3.5,5.5,0.65,0.0,0.0,0.0,0.5,4.5,5.0,8.0,1.0,1.0,1.0,1.5,13.5,28.5,1.0,Overall,2023-24,2023-24,82.0,64.0,18.0,0.78,3966.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,979.0,557.0,538.0,304.0,1326.0,1416.0,9887.0,930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,48.0,34.0,0.585,3961.0,3425.0,7147.0,0.479,1108.0,3016.0,0.367,1278.0,1671.0,0.765,807.0,2742.0,3549.0,2299.0,1112.0,605.0,380.0,410.0,1436.0,1536.0,9236.0,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1628401.0,36.0,5.0,9.5,0.528,3.5,6.0,0.5625,2.0,2.0,1.0,1.0,3.5,4.5,3.5,2.0,1.0,2.0,1.5,15.5,1.5,1.0
22300886,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,36.000000:13,5.0,9.0,0.556,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,0.0,4.0,1.0,12.0,-14.0,201950.0,2023-24,0.0,1610612738.0,BOS,34.0,69.0,69.0,2263.0,331.0,689.0,0.48,138.0,322.0,0.429,60.0,72.0,0.833,84.0,289.0,373.0,333.0,61.0,53.0,124.0,108.0,860.0,201950.0,26.5,3.5,6.5,0.548,2.0,3.0,0.6665,0.0,0.0,0.0,0.5,3.5,4.0,5.5,1.0,1.0,0.0,1.5,9.0,25.5,1.0,Overall,2023-24,2023-24,82.0,64.0,18.0,0.78,3966.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,979.0,557.0,538.0,304.0,1326.0,1416.0,9887.0,930.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,48.0,34.0,0.585,3961.0,3425.0,7147.0,0.479,1108.0,3016.0,0.367,1278.0,1671.0,0.765,807.0,2742.0,3549.0,2299.0,1112.0,605.0,380.0,410.0,1436.0,1536.0,9236.0,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,201950.0,35.5,5.5,9.0,0.6034999999999999,2.0,4.0,0.4665,0.0,0.0,0.0,2.0,1.5,3.5,3.0,1.5,0.5,1.5,2.5,13.0,6.5,1.0
22300887,1610612755,PHI,Philadelphia,202699,Tobias Harris,Tobias,F,37.000000:23,8.0,16.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,8.0,9.0,4.0,0.0,0.0,2.0,0.0,18.0,-4.0,202699.0,2023-24,0.0,1610612755.0,PHI,31.0,70.0,70.0,2368.0,463.0,951.0,0.487,91.0,258.0,0.353,187.0,213.0,0.878,80.0,373.0,453.0,217.0,70.0,46.0,93.0,115.0,1204.0,202699.0,37.5,12.0,19.0,0.6315,4.0,7.0,0.5625,1.5,2.0,0.375,1.5,7.0,8.5,2.5,1.5,0.5,0.5,3.0,29.5,13.0,1.0,Overall,2023-24,2023-24,82.0,47.0,35.0,0.573,3956.0,3404.0,7331.0,0.464,992.0,2733.0,0.363,1597.0,1934.0,0.826,906.0,2616.0,3522.0,2041.0,984.0,694.0,492.0,503.0,1668.0,1519.0,9397.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,32.0,50.0,0.39,3961.0,3334.0,7307.0,0.456,1089.0,3010.0,0.362,1293.0,1711.0,0.756,938.0,2675.0,3613.0,2102.0,1076.0,556.0,424.0,409.0,1516.0,1496.0,9050.0,-237.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,202699.0,32.0,5.0,13.0,0.385,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,10.0,14.0,1.0
22300887,1610612755,PHI,Philadelphia,1628964,Mo Bamba,Mo,C,11.000000:46,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,4.0,-4.0,1628964.0,2023-24,0.0,1610612755.0,PHI,26.0,57.0,17.0,740.0,97.0,198.0,0.49,25.0,64.0,0.391,34.0,50.0,0.68,77.0,161.0,238.0,41.0,22.0,60.0,39.0,101.0,253.0,1628964.0,16.5,1.5,3.5,0.4585,0.0,0.5,0.0,2.0,2.0,0.5,2.5,4.0,6.5,1.0,0.5,1.0,1.0,1.5,5.0,2.0,1.0,Overall,2023-24,2023-24,82.0,47.0,35.0,0.573,3956.0,3404.0,7331.0,0.464,992.0,2733.0,0.363,1597.0,1934.0,0.826,906.0,2616.0,3522.0,2041.0,984.0,694.0,492.0,503.0,1668.0,1519.0,9397.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Overall,2023-24,2023-24,82.0,32.0,50.0,0.39,3961.0,3334.0,7307.0,0.456,1089.0,3010.0,0.362,1293.0,1711.0,0.756,938.0,2675.0,3613.0,2102.0,1076.0,556.0,424.0,409.0,1516.0,1496.0,9050.0,-237.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1628964.0,9.5,2.0,3.0,0.75,0.0,0.0,0.0,1.0,1.5,0.75,1.5,1.5,3.0,0.0,0.5,0.0,0.0,0.5,5.0,-1.5,1.0
