PLAYER_NAME,OPPONENT_MIN,OPPONENT_FGM,OPPONENT_FGA,OPPONENT_FG3M,OPPONENT_FG3A,OPPONENT_FTM,OPPONENT_FTA,OPPONENT_OREB,OPPONENT_DREB,OPPONENT_REB,OPPONENT_AST,OPPONENT_STL,OPPONENT_BLK,OPPONENT_TOV,OPPONENT_PF,OPPONENT_PFD,OPPONENT_PTS,OPPONENT_PLUS_MINUS
Franz Wagner,48.1219512195122,40.01219512195122,86.98780487804878,12.060975609756097,34.0,14.5,18.4390243902439,9.329268292682928,30.951219512195124,40.28048780487805,24.79268292682927,6.853658536585366,4.524390243902439,13.768292682926829,17.951219512195124,17.463414634146343,106.58536585365853,-10.24390243902439
Paolo Banchero,48.1219512195122,40.01219512195122,86.98780487804878,12.060975609756097,34.0,14.5,18.4390243902439,9.329268292682928,30.951219512195124,40.28048780487805,24.79268292682927,6.853658536585366,4.524390243902439,13.768292682926829,17.951219512195124,17.463414634146343,106.58536585365853,-10.24390243902439
Gary Harris,48.1219512195122,40.01219512195122,86.98780487804878,12.060975609756097,34.0,14.5,18.4390243902439,9.329268292682928,30.951219512195124,40.28048780487805,24.79268292682927,6.853658536585366,4.524390243902439,13.768292682926829,17.951219512195124,17.463414634146343,106.58536585365853,-10.24390243902439
Jalen Suggs,48.1219512195122,40.01219512195122,86.98780487804878,12.060975609756097,34.0,14.5,18.4390243902439,9.329268292682928,30.951219512195124,40.28048780487805,24.79268292682927,6.853658536585366,4.524390243902439,13.768292682926829,17.951219512195124,17.463414634146343,106.58536585365853,-10.24390243902439
Jaylen Brown,48.30487804878049,41.76829268292683,87.15853658536585,13.512195121951219,36.78048780487805,15.585365853658537,20.378048780487806,9.841463414634147,33.4390243902439,43.28048780487805,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,18.73170731707317,112.63414634146342,2.4146341463414633
Jayson Tatum,48.30487804878049,41.76829268292683,87.15853658536585,13.512195121951219,36.78048780487805,15.585365853658537,20.378048780487806,9.841463414634147,33.4390243902439,43.28048780487805,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,18.73170731707317,112.63414634146342,2.4146341463414633
Kristaps Porziņģis,48.30487804878049,41.76829268292683,87.15853658536585,13.512195121951219,36.78048780487805,15.585365853658537,20.378048780487806,9.841463414634147,33.4390243902439,43.28048780487805,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,18.73170731707317,112.63414634146342,2.4146341463414633
Derrick White,48.30487804878049,41.76829268292683,87.15853658536585,13.512195121951219,36.78048780487805,15.585365853658537,20.378048780487806,9.841463414634147,33.4390243902439,43.28048780487805,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,18.73170731707317,112.63414634146342,2.4146341463414633
Jrue Holiday,48.30487804878049,41.76829268292683,87.15853658536585,13.512195121951219,36.78048780487805,15.585365853658537,20.378048780487806,9.841463414634147,33.4390243902439,43.28048780487805,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,18.73170731707317,112.63414634146342,2.4146341463414633
Tobias Harris,48.30487804878049,40.65853658536585,89.10975609756098,13.28048780487805,36.707317073170735,15.768292682926829,20.865853658536587,11.439024390243903,32.6219512195122,44.0609756097561,25.634146341463413,6.780487804878049,5.170731707317073,13.121951219512194,18.48780487804878,18.24390243902439,110.36585365853658,-2.8902439024390243
Mo Bamba,48.30487804878049,40.65853658536585,89.10975609756098,13.28048780487805,36.707317073170735,15.768292682926829,20.865853658536587,11.439024390243903,32.6219512195122,44.0609756097561,25.634146341463413,6.780487804878049,5.170731707317073,13.121951219512194,18.48780487804878,18.24390243902439,110.36585365853658,-2.8902439024390243
Ausar Thompson,48.18292682926829,39.829268292682926,85.63414634146342,12.463414634146341,33.71951219512195,18.024390243902438,22.024390243902438,9.341463414634147,32.951219512195124,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,18.902439024390244,110.14634146341463,1.7560975609756098
Isaiah Stewart,48.18292682926829,39.829268292682926,85.63414634146342,12.463414634146341,33.71951219512195,18.024390243902438,22.024390243902438,9.341463414634147,32.951219512195124,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,18.902439024390244,110.14634146341463,1.7560975609756098
Jalen Duren,48.18292682926829,39.829268292682926,85.63414634146342,12.463414634146341,33.71951219512195,18.024390243902438,22.024390243902438,9.341463414634147,32.951219512195124,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,18.902439024390244,110.14634146341463,1.7560975609756098
Jaden Ivey,48.18292682926829,39.829268292682926,85.63414634146342,12.463414634146341,33.71951219512195,18.024390243902438,22.024390243902438,9.341463414634147,32.951219512195124,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,18.902439024390244,110.14634146341463,1.7560975609756098
Cade Cunningham,48.18292682926829,39.829268292682926,85.63414634146342,12.463414634146341,33.71951219512195,18.024390243902438,22.024390243902438,9.341463414634147,32.951219512195124,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,18.902439024390244,110.14634146341463,1.7560975609756098
Saddiq Bey,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Jalen Johnson,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Clint Capela,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Bogdan Bogdanović,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Dejounte Murray,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Brandon Ingram,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Zion Williamson,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Jonas Valančiūnas,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Herbert Jones,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
CJ McCollum,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Julian Champagnie,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Jeremy Sochan,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Victor Wembanyama,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Devin Vassell,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Tre Jones,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Pascal Siakam,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Myles Turner,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Andrew Nembhard,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Tyrese Haliburton,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Kevin Durant,48.0609756097561,44.02439024390244,88.76829268292683,11.682926829268293,31.21951219512195,15.121951219512194,19.853658536585368,10.74390243902439,33.68292682926829,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,17.890243902439025,114.85365853658537,5.2560975609756095
Jusuf Nurkić,48.0609756097561,44.02439024390244,88.76829268292683,11.682926829268293,31.21951219512195,15.121951219512194,19.853658536585368,10.74390243902439,33.68292682926829,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,17.890243902439025,114.85365853658537,5.2560975609756095
Grayson Allen,48.0609756097561,44.02439024390244,88.76829268292683,11.682926829268293,31.21951219512195,15.121951219512194,19.853658536585368,10.74390243902439,33.68292682926829,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,17.890243902439025,114.85365853658537,5.2560975609756095
