PLAYER_NAME,TEAM_CITY,SEASON_SEASON_ID,SEASON_MIN,SEASON_FGM,SEASON_FGA,SEASON_FG3M,SEASON_FG3A,SEASON_FTM,SEASON_FTA,SEASON_OREB,SEASON_DREB,SEASON_REB,SEASON_AST,SEASON_STL,SEASON_BLK,SEASON_TOV,SEASON_PF,SEASON_PTS
Franz Wagner,Orlando,2023-24,32.458333333333336,7.333333333333333,15.222222222222221,1.3055555555555556,4.638888888888889,3.763888888888889,4.430555555555555,1.0,4.291666666666667,5.291666666666667,3.736111111111111,1.0555555555555556,0.3888888888888889,1.9027777777777777,2.3333333333333335,19.73611111111111
Paolo Banchero,Orlando,2023-24,34.9875,8.0,17.5875,1.4875,4.3875,5.0625,6.9875,1.025,5.9,6.925,5.3875,0.8875,0.5875,3.0875,1.9125,22.55
Gary Harris,Orlando,2023-24,24.01851851851852,2.425925925925926,5.5,1.4074074074074074,3.7962962962962963,0.6296296296296297,0.8333333333333334,0.4444444444444444,1.2407407407407407,1.6851851851851851,1.6111111111111112,0.9074074074074074,0.25925925925925924,0.5740740740740741,1.6851851851851851,6.888888888888889
Jalen Suggs,Orlando,2023-24,27.0,4.48,9.52,2.04,5.133333333333334,1.5733333333333333,2.08,0.64,2.4133333333333336,3.0533333333333332,2.7333333333333334,1.4133333333333333,0.6266666666666667,1.76,2.7333333333333334,12.573333333333334
Jaylen Brown,Boston,2023-24,33.47142857142857,8.957142857142857,17.942857142857143,2.0714285714285716,5.857142857142857,3.0142857142857142,4.285714285714286,1.2,4.328571428571428,5.5285714285714285,3.557142857142857,1.1857142857142857,0.5285714285714286,2.3714285714285714,2.642857142857143,23.0
Jayson Tatum,Boston,2023-24,35.74324324324324,9.08108108108108,19.27027027027027,3.0945945945945947,8.22972972972973,5.594594594594595,6.716216216216216,0.9054054054054054,7.216216216216216,8.121621621621621,4.918918918918919,1.0135135135135136,0.581081081081081,2.5405405405405403,1.9594594594594594,26.85135135135135
Kristaps Porziņģis,Boston,2023-24,29.649122807017545,6.807017543859649,13.192982456140351,1.9298245614035088,5.140350877192983,4.543859649122807,5.298245614035087,1.7017543859649122,5.473684210526316,7.175438596491228,2.017543859649123,0.7368421052631579,1.9473684210526316,1.5614035087719298,2.736842105263158,20.087719298245613
Derrick White,Boston,2023-24,32.61643835616438,5.301369863013699,11.493150684931507,2.684931506849315,6.780821917808219,1.8767123287671232,2.0821917808219177,0.6986301369863014,3.547945205479452,4.2465753424657535,5.164383561643835,1.0136986301369864,1.1917808219178083,1.5342465753424657,2.0821917808219177,15.164383561643836
Jrue Holiday,Boston,2023-24,32.79710144927536,4.797101449275362,9.985507246376812,2.0,4.666666666666667,0.8695652173913043,1.0434782608695652,1.2173913043478262,4.188405797101449,5.405797101449275,4.826086956521739,0.8840579710144928,0.7681159420289855,1.7971014492753623,1.565217391304348,12.46376811594203
Tobias Harris,Philadelphia,2023-24,33.82857142857143,6.614285714285714,13.585714285714285,1.3,3.6857142857142855,2.6714285714285713,3.0428571428571427,1.1428571428571428,5.328571428571428,6.4714285714285715,3.1,1.0,0.6571428571428571,1.3285714285714285,1.6428571428571428,17.2
Mo Bamba,Philadelphia,2023-24,12.982456140350877,1.7017543859649122,3.473684210526316,0.43859649122807015,1.1228070175438596,0.5964912280701754,0.8771929824561403,1.3508771929824561,2.824561403508772,4.175438596491228,0.7192982456140351,0.38596491228070173,1.0526315789473684,0.6842105263157895,1.7719298245614035,4.43859649122807
Ausar Thompson,Detroit,2023-24,25.126984126984127,3.6825396825396823,7.619047619047619,0.3333333333333333,1.7936507936507937,1.126984126984127,1.8888888888888888,2.0476190476190474,4.333333333333333,6.380952380952381,1.9047619047619047,1.0793650793650793,0.9365079365079365,1.3333333333333333,2.7777777777777777,8.825396825396826
Isaiah Stewart,Detroit,2023-24,30.934782608695652,4.043478260869565,8.304347826086957,1.4565217391304348,3.8043478260869565,1.391304347826087,1.8478260869565217,1.608695652173913,5.021739130434782,6.630434782608695,1.5869565217391304,0.3695652173913043,0.8260869565217391,1.434782608695652,2.152173913043478,10.934782608695652
Jalen Duren,Detroit,2023-24,29.131147540983605,5.721311475409836,9.245901639344263,0.0,0.06557377049180328,2.3442622950819674,2.9672131147540983,3.1475409836065573,8.475409836065573,11.62295081967213,2.4098360655737703,0.5409836065573771,0.7704918032786885,2.1147540983606556,3.1475409836065573,13.78688524590164
Jaden Ivey,Detroit,2023-24,28.805194805194805,5.415584415584416,12.636363636363637,1.6103896103896105,4.792207792207792,2.948051948051948,3.935064935064935,1.1168831168831168,2.311688311688312,3.4285714285714284,3.844155844155844,0.7402597402597403,0.5324675324675324,2.4675324675324677,2.6493506493506493,15.38961038961039
Cade Cunningham,Detroit,2023-24,33.45161290322581,8.451612903225806,18.822580645161292,1.9193548387096775,5.403225806451613,3.838709677419355,4.419354838709677,0.532258064516129,3.7903225806451615,4.32258064516129,7.483870967741935,0.9032258064516129,0.3548387096774194,3.4193548387096775,2.467741935483871,22.661290322580644
Saddiq Bey,Atlanta,2023-24,32.73015873015873,4.603174603174603,11.063492063492063,1.7936507936507937,5.682539682539683,2.6984126984126986,3.2222222222222223,2.6507936507936507,3.873015873015873,6.523809523809524,1.4603174603174602,0.8095238095238095,0.1746031746031746,0.8571428571428571,1.3968253968253967,13.698412698412698
Jalen Johnson,Atlanta,2023-24,33.732142857142854,6.410714285714286,12.535714285714286,1.2678571428571428,3.5714285714285716,1.9107142857142858,2.625,1.3214285714285714,7.392857142857143,8.714285714285714,3.625,1.1964285714285714,0.8392857142857143,1.8035714285714286,2.375,16.0
Clint Capela,Atlanta,2023-24,25.794520547945204,4.835616438356165,8.465753424657533,0.0,0.0136986301369863,1.7808219178082192,2.8219178082191783,4.589041095890411,6.041095890410959,10.63013698630137,1.2465753424657535,0.589041095890411,1.452054794520548,1.0136986301369864,2.2465753424657535,11.452054794520548
Bogdan Bogdanović,Atlanta,2023-24,30.39240506329114,5.962025316455696,13.924050632911392,3.037974683544304,8.113924050632912,1.9113924050632911,2.0759493670886076,0.6708860759493671,2.7721518987341773,3.4430379746835444,3.1265822784810124,1.2151898734177216,0.3291139240506329,1.4177215189873418,2.2658227848101267,16.873417721518987
Dejounte Murray,Atlanta,2023-24,35.67948717948718,8.615384615384615,18.756410256410255,2.576923076923077,7.102564102564102,2.6666666666666665,3.358974358974359,0.7948717948717948,4.538461538461538,5.333333333333333,6.435897435897436,1.4230769230769231,0.3076923076923077,2.576923076923077,1.7692307692307692,22.474358974358974
Brandon Ingram,New Orleans,2023-24,32.859375,7.8125,15.890625,1.34375,3.78125,3.84375,4.796875,0.671875,4.390625,5.0625,5.671875,0.78125,0.625,2.546875,2.265625,20.8125
Zion Williamson,New Orleans,2023-24,31.52857142857143,8.914285714285715,15.628571428571428,0.08571428571428572,0.2571428571428571,4.957142857142857,7.057142857142857,1.7428571428571429,4.057142857142857,5.8,5.0285714285714285,1.1,0.6714285714285714,2.757142857142857,2.2714285714285714,22.87142857142857
Jonas Valančiūnas,New Orleans,2023-24,23.475609756097562,4.902439024390244,8.768292682926829,0.45121951219512196,1.4634146341463414,1.9634146341463414,2.5,2.268292682926829,6.524390243902439,8.792682926829269,2.1097560975609757,0.3902439024390244,0.8292682926829268,1.353658536585366,2.658536585365854,12.21951219512195
Herbert Jones,New Orleans,2023-24,30.539473684210527,3.8552631578947367,7.7368421052631575,1.5,3.5921052631578947,1.8026315789473684,2.0789473684210527,0.9736842105263158,2.6052631578947367,3.5789473684210527,2.6184210526315788,1.381578947368421,0.8157894736842105,1.2236842105263157,2.9473684210526314,11.013157894736842
CJ McCollum,New Orleans,2023-24,32.71212121212121,7.333333333333333,15.984848484848484,3.621212121212121,8.43939393939394,1.7424242424242424,2.106060606060606,0.5909090909090909,3.742424242424242,4.333333333333333,4.621212121212121,0.9393939393939394,0.6212121212121212,1.6666666666666667,1.9090909090909092,20.03030303030303
Julian Champagnie,San Antonio,2023-24,19.83783783783784,2.2162162162162162,5.4324324324324325,1.364864864864865,3.7432432432432434,1.0135135135135136,1.2432432432432432,0.5675675675675675,2.2162162162162162,2.7837837837837838,1.3918918918918919,0.6486486486486487,0.5675675675675675,0.7702702702702703,1.0405405405405406,6.8108108108108105
Jeremy Sochan,San Antonio,2023-24,29.635135135135137,4.594594594594595,10.486486486486486,0.9459459459459459,3.0675675675675675,1.5,1.945945945945946,1.8513513513513513,4.581081081081081,6.4324324324324325,3.364864864864865,0.8378378378378378,0.5405405405405406,1.8918918918918919,2.27027027027027,11.635135135135135
Victor Wembanyama,San Antonio,2023-24,29.661971830985916,7.76056338028169,16.704225352112676,1.8028169014084507,5.549295774647887,4.112676056338028,5.169014084507042,2.267605633802817,8.366197183098592,10.633802816901408,3.859154929577465,1.2394366197183098,3.5774647887323945,3.6619718309859155,2.1549295774647885,21.43661971830986
Devin Vassell,San Antonio,2023-24,33.05882352941177,7.323529411764706,15.529411764705882,2.4411764705882355,6.5588235294117645,2.3676470588235294,2.9558823529411766,0.39705882352941174,3.4411764705882355,3.838235294117647,4.073529411764706,1.0735294117647058,0.3382352941176471,1.588235294117647,1.088235294117647,19.455882352941178
Tre Jones,San Antonio,2023-24,27.766233766233768,3.935064935064935,7.792207792207792,0.8311688311688312,2.4805194805194803,1.3116883116883118,1.5324675324675325,0.7532467532467533,3.0,3.7532467532467533,6.207792207792208,1.0129870129870129,0.11688311688311688,1.5064935064935066,1.1948051948051948,10.012987012987013
Pascal Siakam,Indiana,2023-24,34.717948717948715,8.333333333333334,15.974358974358974,1.1794871794871795,3.717948717948718,4.333333333333333,5.717948717948718,1.3846153846153846,4.923076923076923,6.3076923076923075,4.871794871794871,0.8205128205128205,0.2564102564102564,2.128205128205128,2.230769230769231,22.17948717948718
Myles Turner,Indiana,2023-24,26.961038961038962,6.181818181818182,11.805194805194805,1.5064935064935066,4.207792207792208,3.1818181818181817,4.116883116883117,1.4675324675324675,5.454545454545454,6.922077922077922,1.2987012987012987,0.5064935064935064,1.87012987012987,1.4155844155844155,3.012987012987013,17.051948051948052
Andrew Nembhard,Indiana,2023-24,24.955882352941178,3.823529411764706,7.676470588235294,0.8970588235294118,2.514705882352941,0.6617647058823529,0.8235294117647058,0.5294117647058824,1.5441176470588236,2.073529411764706,4.117647058823529,0.9264705882352942,0.08823529411764706,1.4852941176470589,2.1029411764705883,9.205882352941176
Tyrese Haliburton,Indiana,2023-24,32.231884057971016,7.246376811594203,15.18840579710145,2.8260869565217392,7.753623188405797,2.8115942028985508,3.289855072463768,0.5072463768115942,3.420289855072464,3.927536231884058,10.898550724637682,1.2028985507246377,0.6956521739130435,2.3043478260869565,1.0869565217391304,20.130434782608695
Kevin Durant,Phoenix,2023-24,37.21333333333333,10.013333333333334,19.14666666666667,2.24,5.426666666666667,4.826666666666667,5.64,0.5466666666666666,6.053333333333334,6.6,5.04,0.92,1.2133333333333334,3.2533333333333334,1.7733333333333334,27.093333333333334
Jusuf Nurkić,Phoenix,2023-24,27.342105263157894,4.2105263157894735,8.25,0.2894736842105263,1.1842105263157894,2.1973684210526314,3.4342105263157894,2.9473684210526314,8.06578947368421,11.013157894736842,3.960526315789474,1.0657894736842106,1.0526315789473684,2.3026315789473686,3.3421052631578947,10.907894736842104
Grayson Allen,Phoenix,2023-24,33.50666666666667,4.533333333333333,9.093333333333334,2.7333333333333334,5.933333333333334,1.72,1.96,0.64,3.2933333333333334,3.933333333333333,3.026666666666667,0.92,0.6,1.2666666666666666,2.0933333333333333,13.52
